name	genres	# Spotify followers	# RYM followers	mean RYM rating	current location	RYM url	Spotify url
She/Her/Hers	Queercore, Folk Punk, Pop Punk, Indie Rock	28589	186	3.27		https://rateyourmusic.com/artist/she_her_hers	https://open.spotify.com/artist/4VfY7XPH7M1nahvlNluxTg
Sheikha		None	30	2.88	London, Greater London, United Kingdom	https://rateyourmusic.com/artist/sheikha	None
Shoeb Ahmad	Ambient	426	29	3.17	Canberra, ACT, Australia	https://rateyourmusic.com/artist/shoeb-ahmad	https://open.spotify.com/artist/2h708ZTAjPlRu96CjKqAK7
Shye	Ambient, Folktronica, Indietronica, Field Recordings, Glitch, Reductionism	304	602	3.33	Melbourne, VIC, Australia	https://rateyourmusic.com/artist/shye-1	https://open.spotify.com/artist/24PZMCQX3iX42cRQE185l6
Sidney Phillips	PluggnB, Jazz Rap, Digicore, Hardcore Hip Hop, Abstract Hip Hop, Trap	1049	321	3.56	Brisbane, QLD, Australia	https://rateyourmusic.com/artist/sidney-phillips-1	https://open.spotify.com/artist/0S3fNZXYsaHufrQq3GsO2T
Silas Howard		None	0	0.0	New York, NY, United States	https://rateyourmusic.com/artist/silas-howard	None
Sillyteam	Digicore	None	22	3.1		https://rateyourmusic.com/artist/sillyteam	None
Sir Babygirl	Electropop, Synthpop	15450	344	3.26	Hanover, NH, United States	https://rateyourmusic.com/artist/sir-babygirl	https://open.spotify.com/artist/3Z9b1MnVKbJw8LpgQclsls
six impala	Electronic, Hyperpop, Electronic Dance Music, Bubblegum Bass, Sound Collage, Post-Industrial	19183	919	3.35	Toronto, ON, Canada	https://rateyourmusic.com/artist/six-impala	https://open.spotify.com/artist/5EtZGidUP0imIVaUwBo4GW
Sky Between Spirits	Vaporwave, Ambient	None	9	3.14		https://rateyourmusic.com/artist/sky-between-spirits	None
Skylar		None	1	3.0		https://rateyourmusic.com/artist/skylar-2	None
SL!CE	Electronic	None	5	3.24	Chicago, IL, United States	https://rateyourmusic.com/artist/sl_ce	None
